server_generation,action_string,score,slots_size,score_per_slot
GPU.S3,"GPU.S3|buy-dismiss|DC4,0.9-48",483768.79630934005,4,120942.19907733501
GPU.S2,"GPU.S2|buy-dismiss|DC1,1.0-60",483115.0730302012,4,120778.7682575503
GPU.S3,"GPU.S3|buy-dismiss|DC1,0.8-72",481446.4280145974,4,120361.60700364935
GPU.S2,"GPU.S2|buy-dismiss|DC3,0.85-72",479954.22604482097,4,119988.55651120524
GPU.S3,"GPU.S3|buy-dismiss|DC2,0.75-72",479436.0262636851,4,119859.00656592127
GPU.S3,"GPU.S3|buy-dismiss|DC3,0.8-60",479076.63819904113,4,119769.15954976028
GPU.S3,"GPU.S3|buy-dismiss|DC2,0.9-48",478584.79630934005,4,119646.19907733501
GPU.S2,"GPU.S2|buy-dismiss|DC3,0.8-84",474535.94770607183,4,118633.98692651796
GPU.S3,"GPU.S3|buy-dismiss|DC3,0.7-84",473947.94770607154,4,118486.98692651789
GPU.S3,"GPU.S3|buy-dismiss|DC1,0.75-84",473781.3725422198,4,118445.34313555495
CPU.S4,"CPU.S4|buy-dismiss|DC3,0.9-84",236406.1365916983,2,118203.06829584915
GPU.S1,"GPU.S1|buy-dismiss|DC2,0.95-60",472591.130896021,4,118147.78272400524
GPU.S3,"GPU.S3|buy-dismiss|DC4,0.75-72",469716.0262636851,4,117429.00656592127
GPU.S1,"GPU.S1|buy-dismiss|DC1,1.0-60",469384.34831160103,4,117346.08707790026
CPU.S4,"CPU.S4|buy-dismiss|DC3,0.85-96",234282.2393832909,2,117141.11969164545
GPU.S3,"GPU.S3|buy-dismiss|DC2,0.7-84",465715.9477060717,4,116428.98692651793
GPU.S3,"GPU.S3|buy-dismiss|DC1,0.95-48",465044.84054874786,4,116261.21013718696
GPU.S3,"GPU.S3|buy-dismiss|DC2,0.8-60",462756.63819904113,4,115689.15954976028
GPU.S2,"GPU.S2|buy-dismiss|DC4,0.85-72",461594.22604482097,4,115398.55651120524
GPU.S1,"GPU.S1|buy-dismiss|DC3,0.85-72",461223.62232413224,4,115305.90558103306
GPU.S2,"GPU.S2|buy-dismiss|DC3,1.0-48",460550.7741896362,4,115137.69354740906
CPU.S4,"CPU.S4|buy-dismiss|DC3,0.95-72",230098.06846496183,2,115049.03423248092
GPU.S3,"GPU.S3|buy-dismiss|DC1,0.85-60",459038.9280864811,4,114759.73202162028
GPU.S3,"GPU.S3|buy-dismiss|DC4,0.8-60",458916.63819904113,4,114729.15954976028
CPU.S4,"CPU.S4|buy-dismiss|DC4,0.9-84",229450.9365916983,2,114725.46829584915
GPU.S3,"GPU.S3|buy-dismiss|DC3,1.0-36",457502.159146368,4,114375.539786592
GPU.S1,"GPU.S1|buy-dismiss|DC3,0.8-84",457145.0980337758,4,114286.27450844395
GPU.S2,"GPU.S2|buy-dismiss|DC3,0.9-60",456403.56572718115,4,114100.89143179529
GPU.S2,"GPU.S2|buy-dismiss|DC4,0.8-84",454375.94770607183,4,113593.98692651796
CPU.S4,"CPU.S4|buy-dismiss|DC4,0.85-96",226775.03938329092,2,113387.51969164546
GPU.S2,"GPU.S2|buy-dismiss|DC1,0.85-84",452786.4444377012,4,113196.6111094253
GPU.S2,"GPU.S2|buy-dismiss|DC2,0.85-72",451802.22604482097,4,112950.55651120524
GPU.S2,"GPU.S2|buy-dismiss|DC1,0.9-72",451162.8275768693,4,112790.70689421732
GPU.S3,"GPU.S3|buy-dismiss|DC4,0.7-84",449251.94770607154,4,112312.98692651789
GPU.S2,"GPU.S2|buy-dismiss|DC2,0.8-84",448999.94770607183,4,112249.98692651796
CPU.S4,"CPU.S4|buy-dismiss|DC4,0.95-72",223805.26846496182,2,111902.63423248091
GPU.S2,"GPU.S2|buy-dismiss|DC4,1.0-48",446150.7741896362,4,111537.69354740906
GPU.S2,"GPU.S2|buy-dismiss|DC3,0.75-96",443492.6807216709,4,110873.17018041773
GPU.S1,"GPU.S1|buy-dismiss|DC3,1.0-48",443100.66359111667,4,110775.16589777917
GPU.S1,"GPU.S1|buy-dismiss|DC1,0.85-84",442876.6666608868,4,110719.1666652217
GPU.S1,"GPU.S1|buy-dismiss|DC4,0.85-72",442863.62232413224,4,110715.90558103306
GPU.S3,"GPU.S3|buy-dismiss|DC4,1.0-36",442382.159146368,4,110595.539786592
